ID,product_name,price,discount,flex-none src,rating,Number sale
1,[ Hàng Có Sẵn Ship Liền ] TỔNG HỢP ÁO KHOÁC DA QUẢNG CHÂU HÀNG LOẠI 1 CHẤT DA ĐẸP,391.0,-29%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,"Đã bán 1,3k"
2,[ Hàng Có Sẵn Ship Liền ] TÁCH SET ÁO TAY DÀI TRỄ VAI QUẦN JEAN XANH BÒ HÀNG QUẢNG CHÂU LOẠI 1,99.0,-23%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 487
3,[ Hàng Có Sẵn Ship Liền ] TÁCH LẺ SET QUẦN ÁO HÀNG QUẢNG CHÂU CHẤT ĐẸP,91.0,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,"Đã bán 1,4k"
4,[ Hàng Có Sẵn Ship Liền Hoả Tốc ] QUẦN TÂY CULOTTES ỐNG XUÔNG RỘNG QUẢNG CHÂU PHONG CÁCH Y2K,127.0,-15%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,"Đã bán 1,4k"
5,QUẦN JEAN ỐNG LOE PHOM RỘNG KHÔNG ÔM ĐÙI MÀI RÁCH TUA GẤU XANH DENIM [ Hàng Có Sẵn],252.0,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 302
6,[ Hàng Có Sẵn Ship Liền Hoả Tốc] QUẦN JEAN ỐNG RỘNG MÀI BẠC HÀNG QUẢNG CHÂU LOẠI 1,98.0,-1%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 903
7,TÁCH LẺ QUẦN TÂY ỐNG RỘNG XUÔNG ĐEN + ÁO TRỄ VAI PHỐI MÀU ĐEN TRẮNG [ Hàng Có Sẵn ],189.0,-5%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 167
8,SET ÁO QUẦN MUA HÈ PHONG CÁCH ĐƠN GIẢN [ Order Vui Lòng Không Huỷ Đơn ],119.0,-41%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.6,Đã bán 390
9,CHÂN VÁY DA XẾP LY MÀU NÂU LOANG VINTAGE [ Hàng Có Sẵn Ship Liền ],250.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 18
10,QUẦN JEAN NHÚNG XANH ÁO CROPTOP HOA BÈO HÀNG QUẢNG CHÂU LOẠI 1 [ Hàng Có Sẵn Quần Ship Liền ],91.0,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 960
11,[ DEAL 199K ]QUẦN JEAN ỐNG XUÔNG RỘNG HÀNG QUẢNG CHÂU DÀY ĐẸP [ Hàng Có Sẵn Ship Liền ],199.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 838
12,TỔNG HỢP CHÂN VÁY HOT TREND Y2K CÓ MỤC CHỌN PHÂN LOẠI [ Hàng Có Sẵn Ship Liền ],169.0,-45%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 251
13,ÁO THUN CROPTOP TAY NGẮN PHONG CÁCH RETRO [ Hàng Có Sẵn Ship Liền ],141.0,-6%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.7,Đã bán 743
14,ÁO LEN MỎNG DÀI RỘNG RÁCH PHONG CÁCH Y2K [ Hàng Có Sẵn ],81.0,-26%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 228
15,TÁCH LẺ SET ÁO QUẦN SHORT PHỐI REN HÀNG QUẢNG CHÂU LOẠI 1 [ Hàng Có Sẵn ],199.0,-34%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 115
16,[ Hàng Có Sẵn Màu Xám Ship Liền ] TÁCH SET ÁO QUẦN BUỘC NƠ RIBBON CÁ TÍNH,122.0,-23%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 370
17,QUẦN CARGO PANT RÚT DÂY QUẢNG CHÂU [ Hàng Order Vui Lòng Không Huỷ ],99.0,-17%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 625
18,ÁO RIBBON RUY BĂNG CÓ MỤC CHỌN PHÂN LOẠI HÀNG QUẢNG CHÂU LOẠI 1 [ Hàng Có Sẵn Ship Liền ],199.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 289
19,QUẦN DÂY RÚT QUẢNG CHÂU CHẤT MỊN ĐẸP FORM RỘNG LÙI 1 SIZE [ Hàng Có Sẵn Ship Liền ],81.0,-18%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 110
20,[ Hàng có sẵn giá sale ] QUẦN TÂY ỐNG XUÔNG RỘNG CHẤT MỊN ĐẸP,61.0,-38%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 497
21,QUẦN TÂY CULOTTES XUÔNG RỘNG HÀNG QUẢNG CHÂU LOẠI 1 [ Hàng có sẵn Ship Liền ],249.0,-29%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.6,Đã bán 75
22,QUẦN TÂY RÚT DÂY KIỂU HÀN QUỐC LOẠI 1 [ FLASH SALE - Hàng Có Sẵn Ship Liền ],97.0,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 417
23,TÁCH LẺ ÁO VOAN TRỄ VAI TRẮNG PHỐI QUẦN BÒ LOE ĐẬM GẤU [ Hàng Có Sẵn ],199.0,-29%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 83
24,[ Hàng Có Sẵn Ship Liền ] YẾM QUẦN KHAKI JEAN DÀI VÀNG / ĐỎ CÓ LOGO,81.0,-10%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 291
25,QUẦN JEAN TÚI HỘP CHÉO ĐEN BẢN CAO CẤP [ Hàng Có Sẵn Ship Liền Hoả Tốc ],91.0,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 267
26,ÁO DÂY SÁT NÁCH RUY BĂNG XINH [ Hàng Có Sẵn ],105.0,-47%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 29
27,TÁCH SET QUẦN JEAN MÓC KHOÁ + ÁO YẾM + GĂNG TAY HÀNG QUẢNG CHÂU LOẠI 1  [ Hàng Có Sẵn Ship Liền ],99.0,-45%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 472
28,[ Hàng có sẵn ship liền ] TÁCH LẺ ÁO TRỄ VAI ĐEN QUẦN JEAN BÒ ỐNG LOE TUA RUA CÁ TÍNH,199.0,-43%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 83
29,VÁY XUÔNG BASIC DÁNG DÀI CO GIÃN MÁT MỀM [ Hàng Order ],222.0,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 115
30,CHÂN VÁY NGẮN Y2K XẾP LY ĐEN / TRẮNG [ Hàng Có Sẵn Ship Liền ],99.0,-48%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.7,Đã bán 142
31,TỔNG HỢP QUẦN KHAKI QUẦN JEAN MÀU TRẮNG ỐNG RỘNG [ Hàng Có sẵn Ship liền ],69.0,-22%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 620
32,TỔNG HỢP QUẦN JEAN ỐNG LOE HÀNG QUẢNG CHÂU LOẠI 1 [ Có mục chọn phân loại ],116.0,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 162
33,ÁO KHOÁC BÔNG LÔNG CỪU DÀY MẶC ĐƯỢC 2 MẶT [ Hàng Có Sẵn Ship Liền],99.0,-34%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 384
34,TÁCH SET ÁO SƠ MI XANH SỌC NƠ + CHÂN VÁY GIẢ QUẦN [ Hàng Có Sẵn Ship Liền ],109.0,-43%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 169
35,TÁCH SET QUẦN VẢI MÁT DÂY RÚT ÁO CROPTOP CÔ VUÔNG VẢI MỀM MÁT [ Hàng Có Sẵn Ship Liền ],129.0,-36%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 663
36,SET ÁO QUẦN MÙA HÈ VẢI MỊN MÁT QUẢNG CHÂU LOẠI 1 [ Hàng Order Vui Lòng Không Huỷ ] U,169.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 169
37,QUẦN TÚI HỘP CARGO MÀU TÍM PHOM XUÔNG RỘNG QUẢNG CHÂU CHẤT DÀY ĐẸP [ Hàng Có Sẵn Ship Liền ],91.0,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 671
38,TỔNG HỢP AO THUN PHOM RỘNG HÀNG QUẢNG CHÂU [ Hàng Có Sẵn Ship LiềnÁO,89.0,-10%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 108
39,Set Áo Len Croptop Dệt Kim Cardigan Mỏng Mùa Thu [ Hàng có sẵn ship liền hoả tốc],81.0,-18%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 815
40,TÁCH SET ÁO LEN RÁCH MỎNG TRẮNG VÀ XÁM [ Hàng Có Sẵn Ship Liền ],109.0,-45%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 135
41,TỔNG HỢP QUẦN JEAN ỐNG LOE FORM CHUẨN QUẢNG CHÂU CHẤT ĐẸP [ Hàng Có Sẵn Ship Liền ],71.0,-10%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.7,Đã bán 223
42,[ SẴN ] QUẦN SHORT HOẠ TIẾT REN 2024 CẠP TRỄ XINH XẮN,99.0,-38%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 359
43,QUẦN ỐNG RỘNG HOẠ TIẾT HOA DÂY RÚT [ Hàng ORDER Vui Lòng Không Huỷ Đơn ],69.0,-37%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 427
44,ÁO KHOÁC LEN THÊU TAY PHỒNG HÀNG QUẢNG CHÂU LOẠI 1 [ Hàng Có Sẵn ],249.0,-22%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 83
45,ÁO CARDIGAN LEN DÁNG LỬNG TAY DÀI [ Hàng có sẵn ],99.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 32
46,TÁCH SET CHÂN VÁY HOA CÚC + ÁO CARDIGAN RÁCH LEN XÁM [ Hàng có sẵn ],191.0,-32%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 70
