ID,product_link,product_name,product+price,product_rating,product_sales
1,https://shopee.vn/Qu%E1%BA%A7n-l%C3%B3t-%C4%91%C3%BAc-su-kh%C3%B4ng-%C4%91%C6%B0%E1%BB%9Dng-may-cao-c%E1%BA%A5p-ch%E1%BA%A5t-li%E1%BB%87u-thun-l%E1%BA%A1nh-%C4%91%E1%BB%99-co-d%C3%A3n-t%E1%BB%91t-%C3%B4m-fit-ng%C6%B0%E1%BB%9Di-i.313908344.28405592986?sp_atk=22845003-d7b7-4243-8dbf-7074bd3e3bbd&xptdk=22845003-d7b7-4243-8dbf-7074bd3e3bbd,"Quần lót đúc su không đường may cao cấp, chất liệu thun lạnh, độ co dãn tốt, ôm fit người",8.5,5.0,Đã bán 75
2,https://shopee.vn/%C3%81o-thun-baby-tee-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-cotton-k%E1%BA%BB-s%E1%BB%8Dc-tay-nhi%E1%BB%81u-m%C3%A0u-d%E1%BB%85-ph%E1%BB%91i-i.313908344.22536447801?sp_atk=84cd17fe-1893-4009-a0f4-2b54e7bd1fb3&xptdk=84cd17fe-1893-4009-a0f4-2b54e7bd1fb3,Áo thun baby tee WEARIT chất liệu cotton kẻ sọc tay nhiều màu dễ phối,119.0,4.9,Đã bán 3k
3,https://shopee.vn/%C3%81o-baby-tee-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-cotton-ki%E1%BB%83u-d%C3%A1ng-ph%E1%BB%91i-m%C3%A0u-c%C3%A1-t%C3%ADnh-th%E1%BB%83-thao-i.313908344.22539067969?sp_atk=3aed4a0a-100d-450c-a48d-2658977a8978&xptdk=3aed4a0a-100d-450c-a48d-2658977a8978,"Áo baby tee WEARIT chất liệu cotton kiểu dáng phối màu cá tính, thể thao",159.0,4.9,Đã bán 6k
4,https://shopee.vn/T%E1%BA%A5t-tr%C6%A1n-n%E1%BB%AF-c%E1%BB%95-cao-WEARIT-v%E1%BB%9B-d%C3%A0i-n%E1%BB%AF-phong-c%C3%A1ch-tr%C6%A1n-basic-6-m%C3%A0u-%C3%B4m-ch%C3%A2n-th%E1%BA%A5m-h%C3%BAt-m%E1%BB%93-h%C3%B4i-i.313908344.22783085128?sp_atk=612942f1-cfc8-49bc-bc2e-17eb444b21d2&xptdk=612942f1-cfc8-49bc-bc2e-17eb444b21d2,"Tất trơn nữ cổ cao WEARIT vớ dài nữ phong cách trơn basic, 6 màu, ôm chân, thấm hút mồ hôi",5.5,4.8,"Đã bán 23,5k"
5,https://shopee.vn/%C3%81o-thun-tay-l%E1%BB%A1-WEARIT-ph%C3%B4ng-ch%E1%BA%A5t-li%E1%BB%87u-cotton-100-form-r%E1%BB%99ng-ki%E1%BB%83u-d%C3%A1ng-basic-unisex-northside-boy-i.313908344.5169976209?sp_atk=0a507797-97d6-4c0b-8ff9-824bce44ec0e&xptdk=0a507797-97d6-4c0b-8ff9-824bce44ec0e,Áo thun tay lỡ WEARIT phông chất liệu cotton 100% form rộng kiểu dáng basic unisex - northside boy,189.0,4.9,"Đã bán 5,3k"
6,https://shopee.vn/%C3%81o-thun-tay-l%E1%BB%A1-cotton-cao-c%E1%BA%A5p-co-d%C3%A3n-4-chi%E1%BB%81u-WEARIT-phong-c%C3%A1ch-basic-ki%E1%BB%83u-form-r%E1%BB%99ng-unisex-enternity-i.313908344.7188564422?sp_atk=38d1b7f9-50dc-4920-a44a-f67d58fbc301&xptdk=38d1b7f9-50dc-4920-a44a-f67d58fbc301,Áo thun tay lỡ cotton cao cấp co dãn 4 chiều WEARIT phong cách basic kiểu form rộng unisex enternity,189.0,4.9,"Đã bán 2,3k"
7,https://shopee.vn/%C3%81o-thun-baby-tee-n%E1%BB%AF-WEARIT-d%C3%A1ng-th%E1%BB%83-thao-ch%E1%BA%A5t-li%E1%BB%87u-cotton-th%E1%BA%A5m-h%C3%BAt-t%E1%BB%91t-s%E1%BB%8Dc-line-c%C3%A1-t%C3%ADnh-T002-i.313908344.23570623838?sp_atk=cd007779-62c0-45df-9c85-4842e711baa5&xptdk=cd007779-62c0-45df-9c85-4842e711baa5,"Áo thun baby tee nữ WEARIT dáng thể thao, chất liệu cotton thấm hút tốt, sọc line cá tính T002",149.0,5.0,Đã bán 183
8,https://shopee.vn/%C3%81o-thun-tay-l%E1%BB%A1-WEARIT-ph%C3%B4ng-ch%E1%BA%A5t-li%E1%BB%87u-cotton-100-basic-%C4%91%C6%A1n-gi%E1%BA%A3n-form-r%E1%BB%99ng-unisex-lonely-but-rich-i.313908344.8716063121?sp_atk=d4d6be65-05be-4310-be10-f2f211adbf90&xptdk=d4d6be65-05be-4310-be10-f2f211adbf90,Áo thun tay lỡ WEARIT phông chất liệu cotton 100% basic đơn giản form rộng unisex lonely but rich,189.0,4.9,Đã bán 3k
9,https://shopee.vn/%C3%81o-thun-baby-tee-n%E1%BB%AF-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-cotton-co-d%C3%A3n-hai-chi%E1%BB%81u-phong-c%C3%A1ch-ph%E1%BB%91i-m%C3%A0u-T001-i.313908344.20589677656?sp_atk=23b53627-e0d6-4070-bc83-1f7ea77e8cde&xptdk=23b53627-e0d6-4070-bc83-1f7ea77e8cde,"Áo thun baby tee nữ WEARIT chất liệu cotton co dãn hai chiều, phong cách phối màu T001",149.0,4.9,Đã bán 211
10,https://shopee.vn/B%E1%BB%99-jumpsuit-fit-body-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-thun-t%C4%83m-co-d%C3%A3n-t%E1%BB%91t-thi%E1%BA%BFt-k%E1%BA%BF-c%E1%BB%95-tr%C3%B2n-tay-ng%E1%BA%AFn-i.313908344.24772438509?sp_atk=83d1ec1a-83b9-4edf-a6d7-8ddbc3441aba&xptdk=83d1ec1a-83b9-4edf-a6d7-8ddbc3441aba,"Bộ jumpsuit fit body WEARIT chất liệu thun tăm co dãn tốt, thiết kế cổ tròn, tay ngắn",159.0,5.0,Đã bán 100
11,https://shopee.vn/%C3%81o-thun-baby-tee-WEARIT-cotton-l%E1%BA%A1nh-co-d%C3%A3n-4-chi%E1%BB%81u-form-fit-ki%E1%BB%83u-d%C3%A1ng-basic-d%E1%BB%85-ph%E1%BB%91i-i.313908344.23873602006?sp_atk=bf9a34f7-451c-489b-b5d1-98487c3db4e9&xptdk=bf9a34f7-451c-489b-b5d1-98487c3db4e9,"Áo thun baby tee WEARIT cotton lạnh co dãn 4 chiều, form fit kiểu dáng basic dễ phối",139.0,4.8,Đã bán 91
12,https://shopee.vn/%C3%81o-babe-tee-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-cotton-l%E1%BA%A1nh-tho%C3%A1ng-kh%C3%AD-co-d%C3%A3n-4-chi%E1%BB%81u-2-m%C3%A0u-%C4%91en-tr%E1%BA%AFng-NEED-MONEY-i.313908344.25218055166?sp_atk=378fd032-7a54-484b-a4d2-74cb047076ea&xptdk=378fd032-7a54-484b-a4d2-74cb047076ea,"Áo babe tee WEARIT chất liệu cotton lạnh thoáng khí, co dãn 4 chiều, 2 màu đen trắng NEED MONEY",149.0,4.6,Đã bán 57
13,https://shopee.vn/%C3%81o-thun-th%E1%BB%83-thao-WEARIT-form-r%E1%BB%99ng-thi%E1%BA%BFt-k%E1%BA%BF-ph%E1%BB%91i-l%C6%B0%E1%BB%9Bi-ki%E1%BB%83u-in-nh%C5%A9-n%C4%83ng-%C4%91%E1%BB%99ng-c%C3%A1-t%C3%ADnh-i.313908344.24802833244?sp_atk=220309f1-e0dc-4b70-8e56-b8cf99a8d5ea&xptdk=220309f1-e0dc-4b70-8e56-b8cf99a8d5ea,"Áo thun thể thao WEARIT form rộng, thiết kế phối lưới, kiểu in nhũ năng động cá tính",159.0,5.0,Đã bán 121
14,https://shopee.vn/Thi%E1%BB%87p-postcard-ch%C3%BAc-m%E1%BB%ABng-c%E1%BA%A3m-%C6%A1n-thi%E1%BA%BFt-k%E1%BA%BF-%C4%91%E1%BB%99c-quy%E1%BB%81n-WEARIT-b%C3%A1n-k%C3%A8m-%C3%A1o-thun-i.313908344.8132162377?sp_atk=775db22f-7ac7-4b2f-b885-f72aa523acb9&xptdk=775db22f-7ac7-4b2f-b885-f72aa523acb9,"Thiệp postcard chúc mừng, cảm ơn thiết kế độc quyền WEARIT, bán kèm áo thun",4.0,5.0,"Đã bán 2,4k"
15,https://shopee.vn/Qu%E1%BA%A7n-boxer-n%E1%BB%AF-WEARIT-ch%E1%BA%A5t-co-d%C3%A3n-tho%E1%BA%A3i-m%C3%A1i-th%C3%ADch-h%E1%BB%A3p-%C4%91i-ng%E1%BB%A7-%C4%91i-bi%E1%BB%83n-%C4%91i-ch%C6%A1i-ho%E1%BA%A1t-%C4%91%E1%BB%99ng-th%E1%BB%83-thao-i.313908344.25721946598?sp_atk=17d2bbae-a8f8-4198-8a3a-0f629b1170eb&xptdk=17d2bbae-a8f8-4198-8a3a-0f629b1170eb,"Quần boxer nữ WEARIT chất co dãn, thoải mái, thích hợp đi ngủ, đi biển, đi chơi, hoạt động thể thao",89.0,5.0,Đã bán 73
16,https://shopee.vn/%C3%81o-thun-baby-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-cotton-ph%E1%BB%91i-m%C3%A0u-c%C3%A1-t%C3%ADnh-form-crop-i.313908344.23336734597?sp_atk=c75522da-2efe-4c87-9d1f-48059c93e2eb&xptdk=c75522da-2efe-4c87-9d1f-48059c93e2eb,"Áo thun baby WEARIT chất liệu cotton phối màu cá tính, form crop",159.0,4.9,Đã bán 680
17,https://shopee.vn/%C3%81o-thun-tay-l%E1%BB%A1-WEARIT-cotton-100-form-r%E1%BB%99ng-basic-in-ch%E1%BB%AF-new-tee-unisex-i.313908344.9016054928?sp_atk=3b975793-cc89-46ce-9702-151956189878&xptdk=3b975793-cc89-46ce-9702-151956189878,"Áo thun tay lỡ WEARIT cotton 100%, form rộng basic in chữ new tee unisex",189.0,4.9,"Đã bán 1,8k"
18,https://shopee.vn/%C3%81o-polo-unisex-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-cotton-co-d%C3%A3n-4-chi%E1%BB%81u-ki%E1%BB%83u-d%C3%A1ng-form-r%E1%BB%99ng-basic-nam-n%E1%BB%AF-i.313908344.19919912698?sp_atk=9c0c2fbb-4d6c-4d36-ac97-a8bc4de22a8b&xptdk=9c0c2fbb-4d6c-4d36-ac97-a8bc4de22a8b,"Áo polo unisex WEARIT chất liệu cotton co dãn 4 chiều, kiểu dáng form rộng basic nam nữ",199.0,4.8,Đã bán 178
19,https://shopee.vn/%C3%81o-thun-hai-d%C3%A2y-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-cotton-phong-c%C3%A1ch-basic-tho%E1%BA%A3i-m%C3%A1i-nhi%E1%BB%81u-m%C3%A0u-d%E1%BB%85-ph%E1%BB%91i-i.313908344.20678574385?sp_atk=eb9fb049-4318-45c2-807d-aada6ce5af67&xptdk=eb9fb049-4318-45c2-807d-aada6ce5af67,"Áo thun hai dây WEARIT chất liệu cotton, phong cách basic, thoải mái, nhiều màu dễ phối",129.0,4.9,Đã bán 340
20,https://shopee.vn/%C3%81o-croptop-n%E1%BB%AF-d%C3%A0i-tay-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-cotton-co-d%C3%A3n-4-chi%E1%BB%81u-form-fit-worth-a-million-tears-i.313908344.22777075974?sp_atk=f9dfdfe7-0bfd-4904-a143-eb0d81d0005f&xptdk=f9dfdfe7-0bfd-4904-a143-eb0d81d0005f,"Áo croptop nữ dài tay WEARIT chất liệu cotton co dãn 4 chiều, form fit worth a million tears",129.0,5.0,Đã bán 657
21,https://shopee.vn/%C3%81o-thun-cotton-WEARIT-ph%C3%B4ng-basic-ch%E1%BA%A5t-li%E1%BB%87u-cao-c%E1%BA%A5p-ki%E1%BB%83u-d%C3%A1ng-tay-l%E1%BB%A1-ph%E1%BB%91i-h%E1%BB%A3p-form-r%E1%BB%99ng-unisex-tee11-i.313908344.8053665145?sp_atk=1c7f659d-1e15-4a20-b252-b983939cdacf&xptdk=1c7f659d-1e15-4a20-b252-b983939cdacf,Áo thun cotton WEARIT phông basic chất liệu cao cấp kiểu dáng tay lỡ phối hợp form rộng unisex tee11,189.0,4.9,"Đã bán 2,2k"
22,https://shopee.vn/M%C5%A9-bucket-ch%E1%BB%91ng-n%E1%BA%AFng-WEARIT-ki%E1%BB%83u-d%C3%A1ng-tai-b%C3%A8o-d%C3%A2y-r%C3%BAt-r%E1%BB%99ng-v%C3%A0nh-nhi%E1%BB%81u-m%C3%A0u-c%C3%A1-t%C3%ADnh-i.313908344.16694193917?sp_atk=c808ae47-2c96-4750-bc52-13bab093c913&xptdk=c808ae47-2c96-4750-bc52-13bab093c913,"Mũ bucket chống nắng WEARIT kiểu dáng tai bèo, dây rút, rộng vành, nhiều màu cá tính",69.0,4.9,"Đã bán 1,7k"
23,https://shopee.vn/%C3%81o-thun-d%C3%A0i-tay-n%E1%BB%AF-WEARIT-thi%E1%BA%BFt-k%E1%BA%BF-line-th%E1%BB%83-thao-form-v%E1%BB%ABa-ng%C6%B0%E1%BB%9Di-cotton-co-d%C3%A3n-4-chi%E1%BB%81u-baptized-i.313908344.22560815137?sp_atk=866c21fc-55d1-47d0-8fd3-3d7fe37673a8&xptdk=866c21fc-55d1-47d0-8fd3-3d7fe37673a8,"Áo thun dài tay nữ WEARIT thiết kế line thể thao form vừa người, cotton co dãn 4 chiều baptized",159.0,5.0,Đã bán 71
24,https://shopee.vn/%C3%81o-hai-d%C3%A2y-WEARIT-thun-t%C4%83m-co-d%C3%A3n-t%E1%BB%91t-thi%E1%BA%BFt-k%E1%BA%BF-phong-c%C3%A1ch-%C3%A1o-y%E1%BA%BFm-fit-ng%C6%B0%E1%BB%9Di-2-size-i.313908344.22164539119?sp_atk=939ea909-d7a9-47be-8c30-84288012daa2&xptdk=939ea909-d7a9-47be-8c30-84288012daa2,"Áo hai dây WEARIT thun tăm co dãn tốt, thiết kế phong cách áo yếm fit người, 2 size",99.0,5.0,Đã bán 10
25,https://shopee.vn/%C3%81o-thun-tay-l%E1%BB%A1-WEARIT-raglan-ph%E1%BB%91i-m%C3%A0u-tay-%C3%A1o-ch%E1%BA%A5t-li%E1%BB%87u-cotton-cao-c%E1%BA%A5p-unisex-co-d%C3%A3n-4-chi%E1%BB%81u-i.313908344.7995266015?sp_atk=49b94340-b060-443c-ab08-13507ac8215e&xptdk=49b94340-b060-443c-ab08-13507ac8215e,"Áo thun tay lỡ WEARIT raglan phối màu tay áo, chất liệu cotton cao cấp unisex co dãn 4 chiều",159.0,5.0,Đã bán 209
26,https://shopee.vn/Qu%E1%BA%A7n-short-n%E1%BB%AF-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-d%C3%A0y-d%E1%BA%B7n-tho%C3%A1ng-m%C3%A1t-d%E1%BB%85-ph%E1%BB%91i-%C4%91%E1%BB%93-unisex-nam-n%E1%BB%AF-i.313908344.11150953107?sp_atk=4a1c69e3-0bf9-4eea-8fbb-0a4cc527b4fb&xptdk=4a1c69e3-0bf9-4eea-8fbb-0a4cc527b4fb,Quần short nữ WEARIT chất liệu dày dặn thoáng mát dễ phối đồ unisex nam nữ,159.0,4.9,Đã bán 3k
27,https://shopee.vn/T%E1%BA%A5t-ng%E1%BA%AFn-c%E1%BB%95-nam-n%E1%BB%AF-WEARIT-co-d%C3%A3n-4-chi%E1%BB%81u-%C3%B4m-ch%C3%A2n-ch%E1%BB%91ng-m%C3%B9i-h%C3%B4i-i.313908344.21697426178?sp_atk=b221c556-7be5-43b1-ba78-550e79ac9f3f&xptdk=b221c556-7be5-43b1-ba78-550e79ac9f3f,"Tất ngắn cổ nam nữ WEARIT co dãn 4 chiều, ôm chân, chống mùi hôi",5.5,4.9,"Đã bán 2,4k"
28,https://shopee.vn/Qu%E1%BA%A7n-%E1%BB%91ng-r%E1%BB%99ng-WEARIT-v%E1%BA%A3i-gi%C3%B3-h%E1%BA%A1t-cao-c%E1%BA%A5p-tho%C3%A1ng-m%C3%A1t-nhi%E1%BB%81u-m%C3%A0u-c%C3%B3-d%C3%A2y-%C4%91i%E1%BB%81u-ch%E1%BB%89nh-eo-v%C3%A0-%E1%BB%91ng-qu%E1%BA%A7n-i.313908344.20484303752?sp_atk=7c78c378-77c5-4aa9-b8f6-62b4d9f8089a&xptdk=7c78c378-77c5-4aa9-b8f6-62b4d9f8089a,"Quần ống rộng WEARIT vải gió hạt cao cấp thoáng mát, nhiều màu có dây điều chỉnh eo và ống quần",229.0,4.9,Đã bán 238
29,https://shopee.vn/Qu%E1%BA%A7n-basic-sweatpants-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-n%E1%BB%89-cotton-cao-c%E1%BA%A5p-nhi%E1%BB%81u-m%C3%A0u-s%E1%BA%AFc-d%E1%BB%85-ph%E1%BB%91i-i.313908344.23506488247?sp_atk=0654f86b-32a2-4f2a-a213-978a48302317&xptdk=0654f86b-32a2-4f2a-a213-978a48302317,"Quần basic sweatpants WEARIT chất liệu nỉ cotton cao cấp, nhiều màu sắc dễ phối",249.0,4.9,Đã bán 235
30,https://shopee.vn/%C3%81o-thun-tay-l%E1%BB%A1-WEARIT-ch%E1%BA%A5t-li%E1%BB%87u-cotton-co-d%C3%A3n-4-chi%E1%BB%81u-thun-l%E1%BA%A1nh-form-oversize-nam-n%E1%BB%AF-Labubu-i.313908344.28755639523?sp_atk=81eab04a-fc76-4436-af45-bf78906e4cc3&xptdk=81eab04a-fc76-4436-af45-bf78906e4cc3,Áo thun tay lỡ WEARIT chất liệu cotton co dãn 4 chiều thun lạnh form oversize nam nữ Labubu,189.0,,
